vehicle_id,category,brand,model_year,base_daily_rate,start_date,end_date,rental_length_days,day_of_week,month,city,avg_temp,rain,wind,avg_competitor_price,demand_index,final_daily_price
VEH-67,Sedan,Nissan,2020,129,2023-11-15,2023-11-27,12,2,11,Khobar,34.5,4.43,19.12,120.07,0.33,168.18
VEH-68,Luxury,Toyota,2022,491,2023-10-12,2023-10-24,12,3,10,Makkah,29.09,3.51,27.39,489.68,0.324,530.79
VEH-69,Luxury,Ford,2018,383,2023-01-27,2023-01-30,3,4,1,Makkah,37.55,1.6,29.08,361.6,0.181,393.31
VEH-70,Luxury,Nissan,2023,570,2023-01-27,2023-02-04,8,4,1,Madinah,30.07,0.07,27.76,520.37,0.369,579.46
VEH-71,Economy,Mercedes,2023,107,2023-12-10,2023-12-18,8,6,12,Dammam,37.24,0.22,6.66,97.95,0.012,114.93
VEH-72,Sedan,Nissan,2022,121,2023-03-17,2023-03-26,9,4,3,Dammam,30.74,2.19,9.16,119.21,0.523,181.86
VEH-73,Sedan,Mercedes,2021,137,2023-04-16,2023-04-23,7,6,4,Tabuk,40.53,3.41,18.8,171.03,0.43,228.03
VEH-74,SUV,Hyundai,2018,224,2023-11-10,2023-11-16,6,4,11,Jeddah,47.53,0.76,28.42,227.96,0.206,257.02
VEH-75,Van,Ford,2021,201,2023-02-06,2023-02-14,8,0,2,Madinah,29.29,2.15,18.72,213.27,0.082,232.96
VEH-76,Economy,Ford,2018,106,2023-06-01,2023-06-03,2,3,6,Riyadh,34.57,6.19,28.1,96.82,0.432,153.1
VEH-77,Sedan,Hyundai,2017,117,2023-08-13,2023-08-16,3,6,8,Jeddah,34.25,0.09,26.33,150.2,0.797,191.18
VEH-78,Economy,Ford,2020,116,2023-08-19,2023-08-25,6,5,8,Tabuk,23.72,6.29,24.28,110.09,0.274,141.99
VEH-79,SUV,Mercedes,2020,223,2023-11-28,2023-12-07,9,1,11,Dammam,30.9,4.23,15.43,253.02,0.309,304.89
VEH-80,Luxury,Nissan,2022,407,2023-11-30,2023-12-02,2,3,11,Dammam,30.75,0.2,18.9,397.45,0.215,409.05
VEH-81,SUV,Kia,2016,247,2023-10-12,2023-10-21,9,3,10,Makkah,44.31,4.18,21.02,204.57,0.389,280.66
VEH-82,Economy,Hyundai,2020,74,2023-07-12,2023-07-19,7,2,7,Tabuk,32.64,2.79,19.1,77.34,0.185,123.11
VEH-83,Luxury,Toyota,2016,372,2023-06-18,2023-06-27,9,6,6,Dammam,45.71,3.29,20.53,404.27,0.551,470.48
VEH-84,SUV,BMW,2016,172,2023-11-06,2023-11-13,7,0,11,Khobar,24.05,4.57,12.69,203.05,0.081,219.77
VEH-85,Van,BMW,2016,205,2023-11-24,2023-11-26,2,4,11,Riyadh,40.07,0.18,17.88,181.87,0.048,226.59
VEH-86,Sedan,Toyota,2020,149,2023-04-17,2023-04-24,7,0,4,Tabuk,33.91,3.52,10.7,139.36,0.089,170.76
VEH-87,Van,Toyota,2017,197,2023-01-02,2023-01-03,1,0,1,Madinah,34.45,2.23,18.38,203.59,0.241,226.69
VEH-88,SUV,BMW,2018,203,2023-12-28,2024-01-08,11,3,12,Jeddah,50.82,3.65,21.48,226.21,0.297,257.57
VEH-89,Sedan,Hyundai,2022,135,2023-12-11,2023-12-13,2,0,12,Makkah,25.59,0.27,20.59,112.16,0.233,147.32
VEH-90,Luxury,Hyundai,2019,459,2023-05-18,2023-05-27,9,3,5,Jeddah,43.22,4.74,19.89,458.96,0.415,533.08
VEH-91,Van,Mercedes,2021,276,2023-06-13,2023-06-16,3,1,6,Riyadh,44.4,4.75,10.48,299.24,0.058,320.84
VEH-92,Van,Mercedes,2022,223,2023-02-27,2023-03-02,3,0,2,Riyadh,22.5,3.32,17.93,225.27,0.634,264.49
VEH-93,Luxury,Ford,2023,435,2023-01-03,2023-01-16,13,1,1,Khobar,36.66,1.01,22.74,422.03,0.266,488.59
VEH-94,Economy,Kia,2018,103,2023-12-27,2024-01-01,5,2,12,Madinah,24.46,0.87,25.86,103.78,0.302,164.1
VEH-95,Van,Ford,2018,217,2023-03-23,2023-04-05,13,3,3,Makkah,46.25,5.68,16.26,222.35,0.367,284.26
VEH-96,Sedan,BMW,2016,117,2023-09-13,2023-09-23,10,2,9,Dammam,31.42,2.79,32.79,111.0,0.14,123.5
VEH-97,SUV,BMW,2016,228,2023-01-12,2023-01-24,12,3,1,Madinah,31.69,2.26,6.15,209.21,0.2,237.57
VEH-98,Sedan,Nissan,2017,118,2023-05-10,2023-05-21,11,2,5,Makkah,37.52,7.5,14.41,83.18,0.118,117.0
VEH-99,Van,Ford,2019,217,2023-08-19,2023-08-21,2,5,8,Riyadh,37.38,3.47,16.65,193.6,0.036,218.64
VEH-100,Luxury,Hyundai,2019,437,2023-11-10,2023-11-18,8,4,11,Dammam,22.65,2.73,17.91,448.59,0.389,462.01
VEH-101,SUV,Toyota,2018,248,2023-02-11,2023-02-16,5,5,2,Madinah,32.72,3.17,13.62,244.04,0.156,264.89
VEH-102,Luxury,BMW,2022,378,2023-12-09,2023-12-17,8,5,12,Madinah,32.79,3.04,22.76,402.56,0.237,423.84
VEH-103,Van,Ford,2018,230,2023-09-18,2023-09-23,5,0,9,Dammam,32.87,6.74,22.31,249.92,0.262,276.87
VEH-104,Sedan,Kia,2023,124,2023-05-29,2023-06-02,4,0,5,Riyadh,43.19,9.2,22.47,135.87,0.126,144.46
VEH-105,Sedan,Mercedes,2023,121,2023-10-15,2023-10-18,3,6,10,Madinah,19.24,3.23,22.89,138.21,0.132,131.97
VEH-106,SUV,BMW,2022,172,2023-07-22,2023-07-28,6,5,7,Riyadh,27.2,5.64,28.38,178.0,0.388,197.26
VEH-107,Economy,Nissan,2020,112,2023-07-10,2023-07-16,6,0,7,Riyadh,26.42,9.25,21.74,118.57,0.416,130.24
VEH-108,Economy,Toyota,2019,72,2023-08-12,2023-08-22,10,5,8,Madinah,23.95,6.31,22.56,83.68,0.394,109.0
VEH-109,Economy,Hyundai,2015,83,2023-08-31,2023-09-07,7,3,8,Jeddah,34.65,2.93,2.11,77.25,0.177,122.42
VEH-110,Economy,Kia,2020,109,2023-09-17,2023-09-29,12,6,9,Dammam,29.14,12.23,14.61,112.69,0.303,158.23
VEH-111,Van,Mercedes,2017,255,2023-01-30,2023-02-09,10,0,1,Tabuk,38.79,5.79,22.09,199.53,0.472,235.69
VEH-112,Economy,Mercedes,2023,114,2023-05-28,2023-06-08,11,6,5,Tabuk,38.95,5.5,20.14,114.97,0.442,166.77
VEH-113,Luxury,Kia,2019,373,2023-09-18,2023-09-22,4,0,9,Dammam,23.89,1.89,28.63,406.23,0.173,401.68
VEH-114,Luxury,Ford,2022,405,2023-12-08,2023-12-20,12,4,12,Makkah,26.32,1.81,11.58,366.27,0.149,410.47
VEH-115,SUV,Kia,2019,182,2023-05-07,2023-05-09,2,6,5,Tabuk,47.23,3.41,28.14,205.2,0.216,244.66
VEH-116,Luxury,Hyundai,2021,460,2023-04-27,2023-05-01,4,3,4,Khobar,27.24,1.34,20.82,498.29,0.725,531.63
VEH-117,Sedan,Toyota,2019,101,2023-03-07,2023-03-17,10,1,3,Makkah,29.95,7.45,11.94,113.38,0.417,150.95
VEH-118,Van,Kia,2015,205,2023-03-09,2023-03-13,4,3,3,Khobar,22.88,2.38,15.84,215.23,0.315,238.35
VEH-119,Luxury,Toyota,2015,466,2023-10-06,2023-10-15,9,4,10,Khobar,32.46,1.25,16.77,438.85,0.246,462.74
VEH-120,Luxury,Kia,2022,537,2023-02-11,2023-02-23,12,5,2,Riyadh,39.88,4.63,23.0,528.44,0.189,562.3
VEH-121,SUV,Mercedes,2018,168,2023-01-12,2023-01-23,11,3,1,Makkah,35.97,4.09,18.03,173.3,0.371,232.4
VEH-122,Sedan,Kia,2021,104,2023-07-15,2023-07-24,9,5,7,Riyadh,29.49,4.23,19.76,102.5,0.154,124.72
VEH-123,Luxury,BMW,2022,375,2023-10-13,2023-10-23,10,4,10,Jeddah,40.58,0.17,16.19,379.87,0.179,422.0
VEH-124,Economy,Ford,2021,117,2023-12-16,2023-12-27,11,5,12,Riyadh,26.67,3.3,10.93,140.75,0.182,159.67
VEH-125,Sedan,Ford,2017,124,2023-07-10,2023-07-15,5,0,7,Tabuk,38.44,4.06,19.08,131.01,0.487,206.38
VEH-126,Sedan,Mercedes,2021,133,2023-04-10,2023-04-15,5,0,4,Tabuk,17.79,5.39,14.79,131.19,0.295,170.62
VEH-127,Economy,Kia,2023,97,2023-03-14,2023-03-25,11,1,3,Madinah,35.22,4.28,31.41,81.47,0.765,193.7
VEH-128,Luxury,Nissan,2023,495,2023-09-21,2023-09-23,2,3,9,Madinah,39.65,8.84,17.37,491.62,0.187,512.34
VEH-129,Luxury,Kia,2015,364,2023-10-28,2023-11-04,7,5,10,Riyadh,37.49,5.24,13.87,393.48,0.222,433.8
VEH-130,Van,Mercedes,2018,183,2023-03-17,2023-03-30,13,4,3,Tabuk,31.55,5.0,23.44,178.69,0.364,264.36
VEH-131,Sedan,Mercedes,2017,144,2023-07-08,2023-07-14,6,5,7,Riyadh,29.45,3.19,19.73,137.8,0.065,136.98
VEH-132,Economy,BMW,2022,106,2023-10-04,2023-10-07,3,2,10,Dammam,34.37,5.97,17.62,94.19,0.572,151.08
VEH-133,SUV,BMW,2021,157,2023-06-23,2023-06-30,7,4,6,Dammam,40.2,5.24,21.21,173.37,0.139,205.53
VEH-134,Sedan,Kia,2015,111,2023-09-15,2023-09-28,13,4,9,Jeddah,25.37,7.64,17.41,111.38,0.347,176.92
VEH-135,Van,Ford,2022,214,2023-08-23,2023-08-24,1,2,8,Khobar,27.79,1.26,13.39,210.51,0.083,214.15
VEH-136,Sedan,BMW,2021,137,2023-10-15,2023-10-18,3,6,10,Madinah,48.34,3.51,15.85,141.64,0.229,180.24
VEH-137,SUV,Mercedes,2019,196,2023-06-06,2023-06-16,10,1,6,Tabuk,25.79,7.24,26.37,184.76,0.158,205.01
VEH-138,Sedan,Mercedes,2018,137,2023-04-23,2023-05-06,13,6,4,Dammam,33.2,3.67,7.4,107.98,0.175,154.38
VEH-139,Van,Hyundai,2017,252,2023-10-12,2023-10-25,13,3,10,Tabuk,22.83,2.3,19.98,304.66,0.039,316.91
VEH-140,Economy,BMW,2017,118,2023-05-19,2023-05-26,7,4,5,Tabuk,24.31,2.67,19.95,110.84,0.436,146.05
VEH-141,SUV,Toyota,2021,177,2023-04-11,2023-04-15,4,1,4,Khobar,43.08,8.66,27.37,165.11,0.029,203.98
VEH-142,Van,BMW,2023,198,2023-06-03,2023-06-15,12,5,6,Khobar,40.88,1.79,7.36,223.24,0.181,286.1
VEH-143,Sedan,BMW,2017,126,2023-06-24,2023-06-28,4,5,6,Makkah,31.11,1.57,26.34,105.54,0.109,131.99
VEH-144,SUV,BMW,2017,213,2023-07-23,2023-07-25,2,6,7,Makkah,41.5,1.47,26.68,215.82,0.632,277.08
VEH-145,Luxury,Ford,2015,490,2023-09-22,2023-09-24,2,4,9,Dammam,36.4,1.35,13.53,476.5,0.233,511.86
VEH-146,Luxury,Hyundai,2017,444,2023-08-22,2023-09-03,12,1,8,Riyadh,31.75,2.33,17.03,429.81,0.175,494.13
VEH-147,SUV,BMW,2021,166,2023-09-26,2023-10-01,5,1,9,Makkah,31.64,0.37,9.7,151.97,0.367,207.16
VEH-148,Luxury,Ford,2018,477,2023-02-22,2023-03-02,8,2,2,Madinah,36.67,4.95,13.83,508.14,0.273,541.46
VEH-149,Economy,Nissan,2016,101,2023-03-29,2023-03-31,2,2,3,Khobar,28.69,6.29,15.43,104.7,0.087,110.92
VEH-150,Economy,Hyundai,2020,117,2023-08-06,2023-08-19,13,6,8,Makkah,43.98,3.31,21.13,100.67,0.286,166.56
VEH-151,Luxury,BMW,2017,597,2023-04-11,2023-04-17,6,1,4,Jeddah,30.79,2.0,21.61,568.12,0.048,580.0
VEH-152,Economy,Mercedes,2016,106,2023-01-16,2023-01-25,9,0,1,Tabuk,30.41,10.42,16.36,113.3,0.265,130.94
VEH-153,SUV,Toyota,2019,203,2023-01-21,2023-02-02,12,5,1,Madinah,40.88,2.45,16.14,213.29,0.323,266.37
VEH-154,Van,Mercedes,2016,214,2023-04-21,2023-04-27,6,4,4,Dammam,49.89,5.14,17.88,208.74,0.222,252.33
VEH-155,Luxury,Nissan,2020,532,2023-05-14,2023-05-21,7,6,5,Khobar,43.83,2.41,27.29,507.22,0.053,532.94
VEH-156,Economy,Ford,2023,101,2023-08-05,2023-08-13,8,5,8,Makkah,17.09,1.75,15.63,97.41,0.218,118.91
VEH-157,Economy,Hyundai,2020,110,2023-12-28,2024-01-06,9,3,12,Tabuk,34.61,7.13,21.35,87.77,0.457,139.36
VEH-158,Sedan,Hyundai,2015,137,2023-02-16,2023-02-25,9,3,2,Jeddah,40.8,6.46,17.97,152.46,0.084,184.8
VEH-159,Sedan,Toyota,2020,113,2023-01-03,2023-01-09,6,1,1,Riyadh,35.88,3.7,16.4,104.42,0.348,143.38
VEH-160,Van,Ford,2017,185,2023-09-17,2023-09-29,12,6,9,Dammam,35.98,2.08,14.15,194.76,0.552,290.73
VEH-161,SUV,Mercedes,2020,193,2023-03-15,2023-03-19,4,2,3,Jeddah,24.58,4.47,16.76,205.57,0.069,205.98
VEH-162,Economy,Ford,2019,96,2023-01-10,2023-01-14,4,1,1,Tabuk,27.69,4.27,9.94,63.93,0.286,101.55
VEH-163,Sedan,Kia,2018,117,2023-02-27,2023-03-09,10,0,2,Jeddah,38.53,4.11,18.2,121.28,0.226,159.35
VEH-164,Sedan,Hyundai,2017,125,2023-07-18,2023-07-25,7,1,7,Tabuk,42.88,0.38,15.83,55.57,0.49,114.99
VEH-165,Economy,Hyundai,2022,96,2023-01-24,2023-02-01,8,1,1,Dammam,34.39,1.81,20.54,98.19,0.484,161.93
VEH-166,Sedan,Nissan,2023,136,2023-04-13,2023-04-19,6,3,4,Riyadh,32.8,1.12,14.44,116.68,0.265,148.72
VEH-167,Economy,Ford,2023,117,2023-01-22,2023-01-27,5,6,1,Makkah,26.54,2.69,18.85,91.2,0.123,121.49
VEH-168,Sedan,Mercedes,2015,147,2023-05-03,2023-05-08,5,2,5,Makkah,43.2,3.25,12.92,157.78,0.22,176.54
VEH-169,Economy,Hyundai,2021,86,2023-03-11,2023-03-17,6,5,3,Dammam,34.54,1.77,20.72,92.23,0.112,95.55
VEH-170,Sedan,Mercedes,2018,131,2023-03-19,2023-03-29,10,6,3,Riyadh,40.53,3.45,18.79,113.02,0.538,196.7
VEH-171,Luxury,Hyundai,2022,446,2023-03-21,2023-04-01,11,1,3,Riyadh,19.36,2.75,19.38,467.08,0.486,538.71
VEH-172,Van,Nissan,2021,230,2023-07-29,2023-08-02,4,5,7,Riyadh,30.42,2.57,7.34,238.17,0.222,259.16
VEH-173,Economy,BMW,2015,119,2023-02-16,2023-02-23,7,3,2,Tabuk,31.94,2.64,21.01,141.35,0.33,176.73
VEH-174,Economy,Toyota,2016,79,2023-06-06,2023-06-16,10,1,6,Jeddah,31.39,1.7,23.34,99.7,0.075,96.27
VEH-175,Van,Kia,2022,222,2023-10-22,2023-11-02,11,6,10,Khobar,32.1,0.19,16.37,255.47,0.344,302.19
VEH-176,Luxury,BMW,2018,364,2023-06-03,2023-06-12,9,5,6,Madinah,36.86,3.36,20.34,337.47,0.308,378.94
VEH-177,Economy,BMW,2015,79,2023-04-16,2023-04-22,6,6,4,Madinah,21.64,1.91,16.95,83.51,0.383,116.87
VEH-178,Sedan,Kia,2017,116,2023-07-31,2023-08-13,13,0,7,Makkah,35.51,4.27,13.81,98.59,0.552,146.04
VEH-179,SUV,Hyundai,2022,223,2023-06-28,2023-07-08,10,2,6,Riyadh,36.3,3.5,15.96,211.07,0.326,281.05
VEH-180,Sedan,Kia,2022,149,2023-12-20,2023-12-26,6,2,12,Madinah,36.26,7.37,20.38,122.72,0.422,160.76
VEH-181,SUV,BMW,2019,154,2023-01-21,2023-01-23,2,5,1,Jeddah,31.89,2.54,18.99,140.11,0.442,177.75
VEH-182,Luxury,Nissan,2019,331,2023-12-18,2023-12-23,5,0,12,Madinah,24.98,3.45,22.25,331.18,0.711,402.45
VEH-183,Van,Ford,2021,252,2023-10-12,2023-10-17,5,3,10,Madinah,36.38,8.38,14.17,247.56,0.014,270.49
VEH-184,Economy,Nissan,2020,102,2023-05-02,2023-05-12,10,1,5,Jeddah,40.83,9.34,16.47,95.25,0.171,136.98
VEH-185,Sedan,Kia,2023,132,2023-11-26,2023-12-04,8,6,11,Tabuk,43.89,1.47,21.21,79.29,0.219,155.4
VEH-186,Van,Ford,2021,192,2023-11-21,2023-12-01,10,1,11,Dammam,32.08,2.71,1.89,197.19,0.334,231.81
VEH-187,Van,Nissan,2015,250,2023-07-25,2023-08-07,13,1,7,Dammam,45.31,3.33,16.21,248.2,0.299,282.85
VEH-188,Sedan,Ford,2022,105,2023-12-26,2023-12-30,4,1,12,Makkah,34.08,6.72,17.78,112.12,0.307,128.53
VEH-189,SUV,Toyota,2022,244,2023-12-13,2023-12-24,11,2,12,Tabuk,32.34,3.26,19.83,272.92,0.186,311.52
VEH-190,Sedan,Nissan,2021,116,2023-02-13,2023-02-26,13,0,2,Jeddah,44.05,2.4,11.11,83.8,0.25,160.84
VEH-191,Sedan,Kia,2020,107,2023-04-04,2023-04-16,12,1,4,Madinah,41.14,5.77,23.16,148.55,0.71,222.68
VEH-192,Economy,BMW,2020,116,2023-05-09,2023-05-22,13,1,5,Dammam,31.98,7.16,23.39,90.27,0.305,153.02
VEH-193,Economy,BMW,2015,97,2023-01-22,2023-01-28,6,6,1,Khobar,38.71,5.74,16.78,105.91,0.474,174.91
VEH-194,Luxury,BMW,2021,557,2023-11-27,2023-11-28,1,0,11,Makkah,28.05,2.5,24.97,540.77,0.289,567.16
VEH-195,Sedan,Ford,2018,120,2023-06-15,2023-06-23,8,3,6,Madinah,31.29,7.34,21.78,141.43,0.529,192.63
VEH-196,Luxury,Hyundai,2017,360,2023-06-02,2023-06-06,4,4,6,Khobar,40.38,2.8,9.08,332.03,0.353,360.16
VEH-197,Economy,Ford,2020,94,2023-07-08,2023-07-10,2,5,7,Makkah,40.87,5.75,15.87,83.61,0.171,118.0
VEH-198,Luxury,Ford,2022,541,2023-07-28,2023-08-10,13,4,7,Khobar,31.75,3.07,29.44,531.74,0.238,575.62
